Name,AVG XPM,AVG XPA,AVG XP%,AVG FGM,AVG FGA,AVG FG%,AVG 0-29,AVG 30-39,AVG 40-49,AVG 50+,PPG
Stephen Gostkowski,51,52,98.7,30,34,88.2,10,10,8,2,27.6
Greg Zuerlein,34,35,97.1,27,33,81.8,7,9,6,5,34.9
Justin Tucker,35,35,100,34,37,91.9,8,10,10,6,24.8
Wil Lutz,51,53,96.2,30,34,88.2,8,8,10,4,34.9
Matt Bryant,37,38,97.4,27,31,87.1,8,8,8,3,24.7
Harrison Butker,51,53,96.2,36,40,90,10,12,10,4,37
Jake Elliott,39,42,92.9,30,36,83.3,7,9,10,4,21.5
Chris Boswell,39,42,92.9,28,32,87.5,6,8,11,3,28.8
Robbie Gould,35,36,97.2,27,31,87.1,7,9,8,3,21.2
Matt Prater,39,40,97.5,26,31,83.9,7,6,8,5,21.2
Mason Crosby,46,47,97.9,25,32,78.1,8,8,7,2,23.4
Adam Vinatieri,39,39,100,26,31,83.9,8,8,8,2,27.1
Graham Gano,37,38,97.4,27,33,81.8,8,8,9,2,25.3
Brandon McManus,35,36,97.2,23,29,79.3,6,7,7,3,23
Ryan Succop,31,33,93.9,23,27,85.2,7,8,6,2,19.3
Jason Myers,32,37,86.5,27,33,81.8,8,6,9,4,20.8
Ka'imi Fairbairn,32,35,91.4,20,25,80,3,8,6,3,24.8
Brett Maher,34,36,94.4,29,34,85.2,8,7,10,4,21.2
Aldrick Rosas,20,23,87,18,25,72,8,3,4,3,23.6
Cody Parkey,37,38,97.3,25,30,83.3,7,9,7,2,27.6
Sebastian Janikowski,34,34,100,25,31,80.1,7,7,7,4,26.2
Dustin Hopkins,35,37,97.3,29,34,85.3,10,9,8,2,19.2
Josh Lambo,29,31,93.5,26,29,89.6,4,13,5,4,16.3
