Name,GP,REC,RecYDS,Y/R,RecTD,Height ,Weight ,40 Time ,Vertical ,Bench Press,Broad Jump
Antonio Callaway,26,89,1399,15.7,7,71,200,4.41,34,,121
Keke Coutee,30,159,2424,15.2,17,71,180,4.43,34.5,14,113
Michael Gallup,26,176,2690,15.3,21,73,198,4.51,36,10,122
Christian Kirk,39,234,2856,12.2,26,71,200,4.47,35.5,20,115
Anthony Miller,38,238,3590,15.1,37,71,190,,,22,
D.J. Moore,36,146,2027,13.9,17,71,215,4.42,39.5,15,132
Calvin Ridley,44,224,2781,12.4,19,73,190,4.43,31,15,110
Dante Pettis,52,163,2256,13.8,24,73,195,,,,
Tre'Quan Smith,38,168,2748,16.4,22,74,210,4.49,37.5,12,130
Courtland Sutton,40,195,3220,16.5,31,75,218,4.54,35.5,18,124
