Name,G,Tgt,Rec,Yds,Y/R,TD,FMB,QBS RAT,OPPG,FantPt
Rob Gronkowski,15,131,82,1124,13.71,12,0,97.4,29.2,184
Antonio Gates,16,98,69,821,11.9,12,1,93.8,21.8,154
Jimmy Graham,16,125,85,889,10.46,10,2,97,25.1,145
Greg Olsen,16,123,84,1008,12,6,1,82.1,21.2,137
Martellus Bennett,16,128,90,916,10.18,6,0,88.6,19.9,132
Coby Fleener,16,92,51,774,15.18,8,0,96.5,28.6,125
Julius Thomas,13,62,43,489,11.37,12,1,101.5,30.1,121
Delanie Walker,15,106,63,890,14.13,4,2,83.4,15.9,113
Travis Kelce,16,87,67,862,12.87,5,4,93.4,22.1,110
Jason Witten,16,90,64,703,10.98,5,0,113.2,29.2,100
Heath Miller,16,91,66,761,11.53,3,2,103.3,27.2,94
Larry Donnell,16,92,63,623,9.89,6,4,92.1,23.8,90
Zach Ertz,16,89,58,702,12.1,3,1,81.4,29.6,86
Jared Cook,16,99,52,634,12.19,3,0,85.1,20.2,81
Rob Gronkowski,15,120,72,1176,16.33,11,0,102.2,29.1,184
Gary Barnidge,16,125,79,1043,13.2,9,0,93.3,17.4,158
Jordan Reed,14,114,87,952,10.94,11,3,101.6,24.2,157
Greg Olsen,16,124,77,1104,14.34,7,1,99.4,31.2,150
Delanie Walker,15,133,94,1088,11.57,6,0,91.5,18.7,150
Tyler Eifert,13,74,52,615,11.83,13,0,106.2,26.2,140
Travis Kelce,16,103,72,875,12.15,5,2,95.4,25.3,118
Ben Watson,16,110,74,825,11.15,6,1,101,25.5,117
Richard Rodgers,16,85,58,510,8.79,8,0,92.7,23,102
Zach Ertz,15,112,75,853,11.37,2,1,86.4,23.6,95
Antonio Gates,11,85,56,630,11.25,5,0,93.8,20,93
Jason Witten,16,104,77,713,9.26,3,1,79.4,17.2,87
Eric Ebron,14,70,47,537,11.43,5,0,97,22.4,84
Kyle Rudolph,16,73,49,495,10.1,5,0,88.7,22.8,80
Julius Thomas,12,80,46,455,9.89,5,0,88.2,23.5,78
Travis Kelce,16,117,85,1125,13.24,4,0,91.2,24.3,138
Greg Olsen,16,129,80,1073,13.41,3,0,75.8,23.1,131
Kyle Rudolph,16,132,83,840,10.12,7,0,99.3,20.4,128
Jimmy Graham,16,95,65,923,14.2,6,2,92.6,22.1,124
Delanie Walker,15,102,65,800,12.31,7,1,95.6,23.8,123
Cameron Brate,15,81,57,660,11.58,8,1,86.1,22.1,114
Martellus Bennett,16,73,55,701,12.75,7,0,112.2,27.6,113
Zach Ertz,14,106,78,816,10.46,4,0,79.3,22.9,106
Jordan Reed,12,89,66,686,10.39,6,1,97.2,24.8,105
Hunter Henry,15,53,36,478,13.28,8,1,87.9,25.6,96
Antonio Gates,14,93,53,548,10.34,7,1,87.9,25.6,95
Coby Fleener,16,81,50,631,12.62,3,2,101.7,29.3,89
Jack Doyle,16,75,59,584,9.9,5,0,96.4,25.7,86
Eric Ebron,13,85,61,711,11.66,1,0,93.3,21.6,83
Dennis Pitta,16,121,86,729,8.48,2,1,83.5,21.4,83
Jason Witten,16,95,69,673,9.75,3,1,104.9,26.3,83
C.J. Fiedorowicz,15,89,54,559,10.35,4,1,72.2,17.4,80
Rob Gronkowski,14,105,69,1084,15.71,8,1,102.8,28.6,158
Travis Kelce,15,122,83,1038,12.51,8,0,104.7,25.9,151
Zach Ertz,14,110,74,824,11.14,8,1,101.9,28.6,130
Jimmy Graham,16,96,57,520,9.12,10,0,95.4,22.9,116
Evan Engram,15,115,64,722,11.28,6,0,80.4,15.4,110
Delanie Walker,16,111,74,807,10.91,3,2,79.3,20.9,101
Kyle Rudolph,16,81,57,532,9.33,8,0,98.3,23.9,101
Cameron Brate,16,77,48,591,12.31,6,1,92.2,20.9,95
Jack Doyle,15,108,80,690,8.63,4,2,81.7,16.4,91
Jason Witten,16,87,63,560,8.89,5,1,86.6,22.1,84
Hunter Henry,14,62,45,579,12.87,4,0,96,22.2,82
Tyler Kroft,16,62,42,404,9.62,7,0,86.6,18.1,82
