Name,ESPN,Projected
Rob Gronkowski,175,101.4
Travis Kelce,135.8,214
Zach Ertz,130.6,169.4
Jimmy Graham,110.4,82.3
Greg Olsen,86,53.1
Evan Engram,113.3,60.3
Kyle Rudolph,103,72.6
Delanie Walker,94,5.2
Trey Burton,87.2,95
Jordan Reed,107.4,81
David Njoku,83.3,81.8
Jack Doyle,97,34.5
George Kittle,76,168.9
Tyler Eifert,74,23.9
O.J. Howard,68.3,86.5
Jared Cook,77.8,145.8
Austin Seferian-Jenkins,75.4,15
Eric Ebron,74.6,173
Cameron Brate,73.4,70.5
Ben Watson,75.1,56.2
Austin Hooper,74.7,100.6
Charles Clay,78,20.2
Ricky Seals-Jones,73.5,46.5
Mark Andrews,34.4,62
Mike Gesicki,72.3,16.7
Hayden Hurst,51.7,17.5
Dallas Goedert,40,62.2
Chris Herndon,36.2,68.6
Vance McDonald,78.7,82.3
